event_id,session_id,site_id,participant_id,event_start_sec,event_end_sec,phase,investigation_zone,event_type,source_modalities,detection_method,observation_text,explanation_status,known_explanation,environmental_match,manual_marker,signal_quality_summary,hr_delta_bpm_vs_pre_event,rmssd_delta_pct_vs_pre_event,beta_delta_pct_vs_pre_event,audio_peak_dbfs,audio_transient_count,bodycam_motion_score,environmental_noise_db,review_note
EVT_0086,SITE_07_P06_A,SITE_07,P06,380,450,during,zone_a,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,degraded,1.9,-13.5,5.8,-32.1,0,0.166,32.8,Context suggests a conventional or single-modality explanation.
EVT_0087,SITE_07_P06_A,SITE_07,P06,840,890,during,zone_b,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Exterior light spill or flashlight movement is a plausible source.,true,False,good,-2.4,20.2,3.5,-33.1,0,0.121,38.2,Context suggests a conventional or single-modality explanation.
EVT_0088,SITE_07_P06_A,SITE_07,P06,1180,1250,during,zone_c,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,nan,unknown,False,good,-1.3,-7.8,4.7,-26.6,3,0.141,38.4,Context suggests a conventional or single-modality explanation.
EVT_0089,SITE_07_P09_A,SITE_07,P09,400,450,during,zone_a,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Footstep / investigator handling was visible on body camera.,true,False,good,5.4,-4.9,-0.9,-29.9,0,0.515,38.3,Context suggests a conventional or single-modality explanation.
EVT_0090,SITE_07_P09_A,SITE_07,P09,820,890,during,zone_b,audio_transient,"audio,polar",sensor_rule+field_log,Voice-like fragment heard while the Spirit Box was sweeping; mild physiological response.,unresolved,,unknown,True,good,3.7,-2.1,5.9,-18.5,3,0.079,38.1,Low-context event; retain for comparison.
EVT_0091,SITE_07_P10_A,SITE_07,P10,580,650,during,zone_a,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,7.1,-1.8,11.7,-32.6,0,0.209,36.2,Context suggests a conventional or single-modality explanation.
EVT_0092,SITE_08_P02_A,SITE_08,P02,610,660,during,zone_b,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,3.5,6.7,-0.3,-32.4,0,0.113,41.6,Context suggests a conventional or single-modality explanation.
EVT_0093,SITE_08_P03_A,SITE_08,P03,360,420,during,zone_a,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Equipment handling is the most likely source.,true,False,good,2.7,-4.5,1.1,-31.1,2,0.396,40.2,Context suggests a conventional or single-modality explanation.
EVT_0094,SITE_08_P03_A,SITE_08,P03,840,920,during,zone_b,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,Distant exterior noise was present but exact source was not visually confirmed.,true,False,good,4.5,14.5,-1.4,-20.8,2,0.168,39.3,Context suggests a conventional or single-modality explanation.
EVT_0095,SITE_08_P03_A,SITE_08,P03,1050,1110,during,zone_c,environmental_or_audio_event,"audio,environment",sensor_rule+field_log,Concurrent sensor change detected during a documented environmental interval.,probable,Sump pump and furnace cycle during the night; occupants upstairs.,true,True,good,1.5,-11.7,1.1,-20.7,2,0.131,47.2,Retain as an explainable comparison case for model evaluation.
EVT_0096,SITE_08_P04_A,SITE_08,P04,1180,1240,during,zone_c,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,3.2,-2.8,5.9,-31.5,0,0.111,38.2,Context suggests a conventional or single-modality explanation.
EVT_0097,SITE_08_P05_A,SITE_08,P05,400,470,during,zone_a,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Equipment handling is the most likely source.,true,False,good,3.8,2.3,-2.0,-33.7,0,0.51,40.9,Context suggests a conventional or single-modality explanation.
EVT_0098,SITE_08_P05_A,SITE_08,P05,1020,1100,during,zone_c,physiological_shift,"polar,muse",sensor_rule+manual_review,Concurrent physiological and EEG change without an audio transient. Body-camera movement remained low.,unresolved,,false,True,good,12.3,-43.1,18.3,-29.8,0,0.079,45.8,No immediate environmental explanation was documented; compare across independent sessions.
EVT_0099,SITE_08_P07_A,SITE_08,P07,1110,1180,during,zone_c,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Investigator movement was visible on body camera.,true,False,good,1.7,1.6,0.3,-29.8,0,0.355,42.4,Context suggests a conventional or single-modality explanation.
EVT_0100,SITE_08_P08_A,SITE_08,P08,360,440,during,zone_a,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,6.6,13.2,5.8,-32.1,0,0.144,38.9,Context suggests a conventional or single-modality explanation.
EVT_0101,SITE_08_P08_A,SITE_08,P08,940,990,during,zone_c,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,3.4,-12.5,-3.2,-31.5,0,0.185,42.4,Context suggests a conventional or single-modality explanation.
EVT_0102,SITE_08_P09_A,SITE_08,P09,430,490,during,zone_a,physiological_shift,"polar,muse,bodycam,muse_accel",automated_screen,Concurrent physiological and EEG change occurred near an audio transient.,probable,Movement was visible on body camera during the physiological change.,true,False,good,14.5,-23.4,15.6,-27.3,2,0.336,39.6,Context suggests a conventional or single-modality explanation.
EVT_0103,SITE_08_P09_A,SITE_08,P09,660,720,during,zone_b,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,4.9,-5.1,0.6,-28.2,1,0.202,39.2,Context suggests a conventional or single-modality explanation.
EVT_0104,SITE_08_P09_A,SITE_08,P09,830,910,during,zone_b,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Exterior light spill or flashlight movement is a plausible source.,true,False,good,1.6,-4.4,5.5,-32.6,0,0.197,39.7,Context suggests a conventional or single-modality explanation.
EVT_0105,SITE_08_P09_A,SITE_08,P09,1270,1350,during,zone_d,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Footstep / investigator handling was visible on body camera.,true,False,good,5.3,-2.7,8.6,-29.8,1,0.473,36.3,Context suggests a conventional or single-modality explanation.
EVT_0106,SITE_08_P10_A,SITE_08,P10,1090,1130,during,zone_c,protocol_interruption,"field_log,environment",field_log,Session interrupted by a documented protocol deviation.,confirmed,Sump pump and furnace cycle during the night; occupants upstairs.,true,True,good,-1.8,5.4,-1.4,-24.2,2,0.463,51.6,Exclude this session from primary analysis but retain for audit and robustness testing.
EVT_0107,SITE_08_P10_B,SITE_08,P10,1090,1170,during,zone_c,multimodal_coincidence,"polar,muse,audio,environment",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient during a documented electrical interval.,probable,Sump pump activity was documented during the interval.,true,True,good,11.0,-27.0,9.6,-18.1,5,0.071,52.1,Retain as an explainable comparison case for model evaluation.
EVT_0108,SITE_09_P02_A,SITE_09,P02,440,500,during,zone_a,physiological_shift,"polar,muse,bodycam,muse_accel",automated_screen,Concurrent physiological and EEG change occurred near an audio transient.,probable,Movement was visible on body camera during the physiological change.,true,False,good,7.1,-43.5,8.4,-27.5,3,0.329,43.4,Context suggests a conventional or single-modality explanation.
EVT_0109,SITE_09_P02_A,SITE_09,P02,610,690,during,zone_b,multimodal_coincidence,"polar,muse,audio",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,unknown,True,good,7.5,-31.3,5.3,-19.3,2,0.073,45.9,Low-context event; retain for comparison.
EVT_0110,SITE_09_P03_A,SITE_09,P03,460,530,during,zone_a,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,Distant exterior noise was present but exact source was not visually confirmed.,unknown,False,good,0.2,20.2,-3.4,-23.1,1,0.129,43.0,Context suggests a conventional or single-modality explanation.
EVT_0111,SITE_09_P03_A,SITE_09,P03,740,810,during,zone_b,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Footstep / investigator handling was visible on body camera.,true,False,good,1.5,5.9,-5.2,-25.8,2,0.462,40.9,Context suggests a conventional or single-modality explanation.
EVT_0112,SITE_09_P04_A,SITE_09,P04,500,550,during,zone_a,multimodal_coincidence,"polar,muse,audio,environment",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient during a documented electrical interval.,probable,Adjacent substation activity was documented during the interval.,true,True,good,9.2,-21.4,8.0,-23.3,3,0.089,44.5,Retain as an explainable comparison case for model evaluation.
EVT_0113,SITE_09_P04_A,SITE_09,P04,930,980,during,zone_c,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,unresolved,Distant exterior noise was present but exact source was not visually confirmed.,unknown,False,good,-2.7,0.5,2.6,-26.3,2,0.144,44.4,Context suggests a conventional or single-modality explanation.
EVT_0114,SITE_09_P05_A,SITE_09,P05,440,520,during,zone_a,multimodal_coincidence,"polar,muse,audio,bodycam",sensor_rule+manual_review,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,false,True,good,7.1,-24.3,25.8,-20.0,3,0.088,43.1,No immediate environmental explanation was documented; compare across independent sessions.
EVT_0115,SITE_09_P05_A,SITE_09,P05,1370,1430,during,zone_d,multimodal_coincidence,"polar,muse,audio,environment",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient during a documented electrical interval.,probable,Adjacent substation activity was documented during the interval.,true,True,good,8.3,-6.0,19.9,-14.8,7,0.088,58.2,Retain as an explainable comparison case for model evaluation.
EVT_0116,SITE_09_P06_A,SITE_09,P06,870,940,during,zone_b,environmental_or_audio_event,"audio,environment",sensor_rule+field_log,Concurrent sensor change detected during a documented environmental interval.,probable,Adjacent substation hum is audible throughout the building.,true,True,good,3.9,0.6,3.7,-22.3,2,0.161,50.7,Retain as an explainable comparison case for model evaluation.
EVT_0117,SITE_09_P07_A,SITE_09,P07,1430,1500,during,zone_d,single_sensor_deviation,"muse,polar",automated_screen,EEG beta increase during a short signal-quality reduction.,probable,Short signal-quality reduction may explain the isolated deviation.,unknown,False,degraded,5.8,-7.9,25.9,-31.4,1,0.057,42.5,Context suggests a conventional or single-modality explanation.
EVT_0118,SITE_09_P08_A,SITE_09,P08,680,760,during,zone_b,multimodal_coincidence,"polar,muse,audio,environment",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient during a documented electrical interval.,probable,Adjacent substation activity was documented during the interval.,true,True,good,10.4,-31.9,20.2,-18.7,6,0.089,52.5,Retain as an explainable comparison case for model evaluation.
EVT_0119,SITE_09_P08_A,SITE_09,P08,1250,1310,during,zone_d,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,Distant exterior noise was present but exact source was not visually confirmed.,unknown,False,good,0.8,20.2,-6.3,-24.0,3,0.131,40.2,Context suggests a conventional or single-modality explanation.
EVT_0120,SITE_09_P09_A,SITE_09,P09,1150,1230,during,zone_c,multimodal_coincidence,"polar,muse,audio,environment",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient during a documented electrical interval.,probable,Adjacent substation activity was documented during the interval.,true,True,good,11.8,-29.6,21.2,-20.4,7,0.11,54.0,Retain as an explainable comparison case for model evaluation.
EVT_0121,SITE_10_P01_A,SITE_10,P01,980,1040,during,zone_c,physiological_shift,"polar,muse,bodycam,muse_accel",automated_screen,Concurrent physiological and EEG change occurred near an audio transient.,probable,Movement was visible on body camera during the physiological change.,true,False,good,11.6,-34.8,22.2,-19.7,4,0.342,32.7,Context suggests a conventional or single-modality explanation.
EVT_0122,SITE_10_P02_A,SITE_10,P02,430,500,during,zone_a,physiological_shift,"polar,muse",sensor_rule+manual_review,Concurrent physiological and EEG change without an audio transient. Body-camera movement remained low.,unresolved,,false,True,good,14.3,-40.3,15.3,-33.8,0,0.079,32.6,No immediate environmental explanation was documented; compare across independent sessions.
EVT_0123,SITE_10_P02_A,SITE_10,P02,580,630,during,zone_a,audio_transient,"audio,polar",sensor_rule+field_log,Voice-like fragment heard while the Spirit Box was sweeping; mild physiological response.,unresolved,,unknown,True,good,8.3,-13.3,-1.1,-20.0,6,0.124,28.1,Low-context event; retain for comparison.
EVT_0124,SITE_10_P03_A,SITE_10,P03,430,470,during,zone_a,protocol_interruption,"field_log,environment",field_log,Session interrupted by a documented protocol deviation.,confirmed,Long tunnel with wind echo; no infrastructure on site.,true,True,good,5.4,-0.3,-8.5,-29.6,2,0.399,38.7,Exclude this session from primary analysis but retain for audit and robustness testing.
EVT_0125,SITE_10_P03_B,SITE_10,P03,770,840,during,zone_b,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,5.4,-10.8,11.4,-36.5,0,0.141,29.2,Context suggests a conventional or single-modality explanation.
EVT_0126,SITE_10_P05_A,SITE_10,P05,380,440,during,zone_a,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,6.6,-6.3,4.2,-36.4,0,0.122,28.6,Context suggests a conventional or single-modality explanation.
EVT_0127,SITE_10_P06_A,SITE_10,P06,1270,1340,during,zone_d,multimodal_coincidence,"polar,muse,audio",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,unknown,True,good,4.0,-10.6,14.2,-25.6,3,0.091,29.9,Low-context event; retain for comparison.
EVT_0128,SITE_10_P07_A,SITE_10,P07,570,630,during,zone_a,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,nan,true,False,good,2.7,-6.1,8.0,-24.1,3,0.26,31.7,Context suggests a conventional or single-modality explanation.
EVT_0129,SITE_10_P08_A,SITE_10,P08,500,580,during,zone_a,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,Distant exterior noise was present but exact source was not visually confirmed.,true,False,good,1.0,8.8,-1.5,-25.3,4,0.133,29.0,Context suggests a conventional or single-modality explanation.
EVT_0130,SITE_10_P08_A,SITE_10,P08,930,1000,during,zone_c,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,Distant exterior noise was present but exact source was not visually confirmed.,true,False,good,-2.2,43.7,-0.6,-28.7,3,0.15,28.3,Context suggests a conventional or single-modality explanation.
EVT_0131,SITE_10_P08_A,SITE_10,P08,1200,1280,during,zone_d,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,nan,unknown,False,good,-0.9,6.7,0.7,-22.3,2,0.115,29.2,Context suggests a conventional or single-modality explanation.
EVT_0132,SITE_10_P10_A,SITE_10,P10,450,510,during,zone_a,environmental_or_audio_event,"audio,environment",sensor_rule+field_log,Concurrent sensor change detected during a documented environmental interval.,probable,Long tunnel with wind echo; no infrastructure on site.,true,True,good,3.1,-7.2,1.1,-28.3,1,0.227,35.7,Retain as an explainable comparison case for model evaluation.
EVT_0133,SITE_10_P10_A,SITE_10,P10,940,1020,during,zone_c,multimodal_coincidence,"polar,muse,audio,bodycam",sensor_rule+manual_review,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,unknown,True,good,6.4,-23.0,6.5,-25.7,1,0.083,30.0,Low-context event; retain for comparison.
EVT_0134,SITE_11_P01_A,SITE_11,P01,460,520,during,zone_a,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,Distant exterior noise was present but exact source was not visually confirmed.,true,False,good,1.9,18.7,-6.7,-25.2,2,0.185,34.3,Context suggests a conventional or single-modality explanation.
EVT_0135,SITE_11_P01_A,SITE_11,P01,1050,1120,during,zone_c,multimodal_coincidence,"polar,muse,audio,bodycam",sensor_rule+manual_review,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,false,True,good,15.6,-43.1,16.2,-26.0,4,0.1,34.9,No immediate environmental explanation was documented; compare across independent sessions.
EVT_0136,SITE_11_P01_A,SITE_11,P01,1260,1320,during,zone_d,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,degraded,1.7,3.5,7.7,-32.9,1,0.144,32.2,Context suggests a conventional or single-modality explanation.
EVT_0137,SITE_11_P03_A,SITE_11,P03,1410,1490,during,zone_d,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Equipment handling is the most likely source.,true,False,good,4.6,16.4,-0.2,-31.5,1,0.512,32.9,Context suggests a conventional or single-modality explanation.
EVT_0138,SITE_11_P04_A,SITE_11,P04,450,500,during,zone_a,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,6.0,-3.3,2.2,-31.4,1,0.106,34.8,Context suggests a conventional or single-modality explanation.
EVT_0139,SITE_11_P05_A,SITE_11,P05,430,490,during,zone_a,audio_transient,"audio,polar",sensor_rule+field_log,Voice-like fragment heard while the Spirit Box was sweeping; mild physiological response.,unresolved,,unknown,True,good,0.9,-32.6,-0.8,-24.4,3,0.089,33.2,Low-context event; retain for comparison.
EVT_0140,SITE_11_P06_A,SITE_11,P06,1170,1220,during,zone_c,physiological_shift,"polar,muse,bodycam,muse_accel",automated_screen,Concurrent physiological and EEG change occurred near an audio transient.,probable,Movement was visible on body camera during the physiological change.,true,False,good,6.4,-21.8,12.5,-28.9,3,0.362,37.2,Context suggests a conventional or single-modality explanation.
EVT_0141,SITE_11_P08_A,SITE_11,P08,480,540,during,zone_a,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,unresolved,nan,true,False,good,1.4,-2.5,-3.6,-28.1,1,0.283,35.6,Context suggests a conventional or single-modality explanation.
EVT_0142,SITE_11_P08_A,SITE_11,P08,1070,1130,during,zone_c,multimodal_coincidence,"polar,muse,audio",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,unknown,True,good,2.9,-30.2,14.6,-25.6,1,0.103,38.5,Low-context event; retain for comparison.
EVT_0143,SITE_12_P02_A,SITE_12,P02,780,840,during,zone_b,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Footstep / investigator handling was visible on body camera.,true,False,good,7.5,-13.4,-2.9,-29.3,2,0.427,42.3,Context suggests a conventional or single-modality explanation.
EVT_0144,SITE_12_P03_A,SITE_12,P03,1310,1360,during,zone_d,single_sensor_deviation,"muse,polar",automated_screen,EEG beta increase during a short signal-quality reduction.,probable,Short signal-quality reduction may explain the isolated deviation.,unknown,False,degraded,9.3,-57.2,29.1,-28.0,1,0.06,40.6,Context suggests a conventional or single-modality explanation.
EVT_0145,SITE_12_P04_A,SITE_12,P04,490,570,during,zone_a,multimodal_coincidence,"polar,muse,audio,bodycam",sensor_rule+manual_review,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,false,True,good,15.8,-44.6,11.2,-18.9,4,0.049,44.7,No immediate environmental explanation was documented; compare across independent sessions.
EVT_0146,SITE_12_P04_A,SITE_12,P04,720,780,during,zone_b,multimodal_coincidence,"polar,muse,audio,bodycam",sensor_rule+manual_review,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,unknown,True,good,6.6,-15.9,4.6,-23.8,3,0.1,39.6,Low-context event; retain for comparison.
EVT_0147,SITE_12_P04_A,SITE_12,P04,1240,1320,during,zone_d,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,degraded,-3.3,-8.4,5.7,-30.3,0,0.132,39.1,Context suggests a conventional or single-modality explanation.
EVT_0148,SITE_12_P06_A,SITE_12,P06,420,490,during,zone_a,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Investigator movement was visible on body camera.,true,False,good,2.2,-9.4,3.1,-26.2,2,0.445,45.3,Context suggests a conventional or single-modality explanation.
EVT_0149,SITE_12_P06_A,SITE_12,P06,1050,1110,during,zone_c,physiological_shift,"polar,muse",sensor_rule+manual_review,Concurrent physiological and EEG change without an audio transient. Body-camera movement remained low.,unresolved,,false,True,good,12.0,-32.2,18.0,-29.6,0,0.065,44.6,No immediate environmental explanation was documented; compare across independent sessions.
EVT_0150,SITE_12_P06_A,SITE_12,P06,1240,1310,during,zone_d,physiological_shift,"polar,muse,bodycam,muse_accel",automated_screen,Concurrent physiological and EEG change occurred near an audio transient.,probable,Movement was visible on body camera during the physiological change.,true,False,good,6.8,-23.6,5.5,-21.0,3,0.403,43.5,Context suggests a conventional or single-modality explanation.
EVT_0151,SITE_12_P07_A,SITE_12,P07,440,510,during,zone_a,physiological_shift,"polar,muse,bodycam,muse_accel",automated_screen,Concurrent physiological and EEG change occurred near an audio transient.,probable,Movement was visible on body camera during the physiological change.,true,False,good,10.4,-24.5,11.0,-20.3,5,0.339,46.8,Context suggests a conventional or single-modality explanation.
EVT_0152,SITE_12_P07_A,SITE_12,P07,1360,1440,during,zone_d,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,4.1,-0.6,3.8,-32.1,0,0.127,39.5,Context suggests a conventional or single-modality explanation.
EVT_0153,SITE_12_P08_A,SITE_12,P08,970,1010,during,zone_c,protocol_interruption,"field_log,environment",field_log,Session interrupted by a documented protocol deviation.,confirmed,Security system and display power remain active at night.,true,True,good,1.0,-2.3,-7.7,-25.9,2,0.464,51.7,Exclude this session from primary analysis but retain for audit and robustness testing.
EVT_0154,SITE_12_P09_A,SITE_12,P09,1150,1190,during,zone_c,protocol_interruption,"field_log,environment",field_log,Session interrupted by a documented protocol deviation.,confirmed,Security system and display power remain active at night.,true,True,good,-1.5,22.8,4.1,-24.9,2,0.435,50.2,Exclude this session from primary analysis but retain for audit and robustness testing.
EVT_0155,SITE_13_P01_A,SITE_13,P01,460,530,during,zone_a,physiological_shift,"polar,muse,bodycam,muse_accel",automated_screen,Concurrent physiological and EEG change occurred near an audio transient.,probable,Movement was visible on body camera during the physiological change.,true,False,good,12.5,-46.8,3.4,-22.7,3,0.431,38.5,Context suggests a conventional or single-modality explanation.
EVT_0156,SITE_13_P01_A,SITE_13,P01,590,660,during,zone_a,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,degraded,0.1,15.1,17.3,-26.4,0,0.127,39.7,Context suggests a conventional or single-modality explanation.
EVT_0157,SITE_13_P01_A,SITE_13,P01,800,870,during,zone_b,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,9.2,-9.5,8.5,-31.0,1,0.158,34.2,Context suggests a conventional or single-modality explanation.
EVT_0158,SITE_13_P01_A,SITE_13,P01,990,1050,during,zone_c,multimodal_coincidence,"polar,muse,audio",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,unknown,True,good,1.7,-19.5,12.2,-29.5,2,0.132,32.9,Low-context event; retain for comparison.
EVT_0159,SITE_13_P01_A,SITE_13,P01,1300,1380,during,zone_d,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Flashlight movement was visible on body camera.,true,False,good,-0.5,-16.1,5.0,-30.1,0,0.209,39.2,Context suggests a conventional or single-modality explanation.
EVT_0160,SITE_13_P02_A,SITE_13,P02,1120,1200,during,zone_c,audio_transient,"audio,polar",sensor_rule+field_log,Voice-like fragment heard while the Spirit Box was sweeping; mild physiological response.,unresolved,,unknown,True,good,1.4,39.9,7.1,-16.8,5,0.087,41.1,Low-context event; retain for comparison.
EVT_0161,SITE_13_P02_A,SITE_13,P02,1410,1470,during,zone_d,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,8.5,-8.1,-2.0,-31.5,0,0.111,38.6,Context suggests a conventional or single-modality explanation.
EVT_0162,SITE_13_P03_A,SITE_13,P03,970,1020,during,zone_c,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,degraded,-1.2,-8.8,11.7,-33.5,0,0.181,38.4,Context suggests a conventional or single-modality explanation.
EVT_0163,SITE_13_P06_A,SITE_13,P06,360,420,during,zone_a,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,Distant exterior noise was present but exact source was not visually confirmed.,unknown,False,good,-2.3,-6.7,6.2,-29.0,1,0.155,37.7,Context suggests a conventional or single-modality explanation.
EVT_0164,SITE_13_P06_A,SITE_13,P06,740,810,during,zone_b,environmental_or_audio_event,"audio,environment",sensor_rule+field_log,Concurrent sensor change detected during a documented environmental interval.,probable,Old wiring and street transformer documented; water heater cycles.,true,True,good,-3.3,7.7,-4.1,-22.6,2,0.123,46.6,Retain as an explainable comparison case for model evaluation.
EVT_0165,SITE_13_P06_A,SITE_13,P06,1060,1110,during,zone_c,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,acceptable,-0.7,-21.3,9.5,-31.9,0,0.167,41.0,Context suggests a conventional or single-modality explanation.
EVT_0166,SITE_13_P07_A,SITE_13,P07,920,980,during,zone_c,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,6.6,-3.0,-11.6,-31.6,0,0.2,39.9,Context suggests a conventional or single-modality explanation.
EVT_0167,SITE_13_P07_A,SITE_13,P07,1280,1330,during,zone_d,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,nan,true,False,good,2.6,-18.8,-2.0,-27.3,2,0.153,41.2,Context suggests a conventional or single-modality explanation.
EVT_0168,SITE_13_P08_A,SITE_13,P08,1310,1380,during,zone_d,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,4.5,-10.0,-3.7,-31.0,0,0.153,39.8,Context suggests a conventional or single-modality explanation.
EVT_0169,SITE_13_P09_A,SITE_13,P09,1090,1130,during,zone_c,protocol_interruption,"field_log,environment",field_log,Session interrupted by a documented protocol deviation.,confirmed,Old wiring and street transformer documented; water heater cycles.,true,True,good,-1.4,-2.0,2.3,-27.4,2,0.358,40.3,Exclude this session from primary analysis but retain for audit and robustness testing.
EVT_0170,SITE_13_P09_B,SITE_13,P09,500,560,during,zone_a,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Flashlight movement was visible on body camera.,true,False,good,4.4,-2.7,1.9,-30.2,0,0.153,36.5,Context suggests a conventional or single-modality explanation.
EVT_0171,SITE_13_P09_B,SITE_13,P09,1350,1430,during,zone_d,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Investigator movement was visible on body camera.,true,False,good,5.3,3.6,-2.4,-30.4,2,0.498,40.6,Context suggests a conventional or single-modality explanation.
