audio_review_id,event_id,session_id,site_id,participant_id,review_start_sec,review_end_sec,recorder_status,spirit_box_status,audio_result,audible_content,speech_intelligibility,radio_bleed_possible,environmental_source_possible,reviewer_confidence,explanation_status,review_notes
AR_0143,EVT_0197,SITE_14_P09_A,SITE_14,P09,1040,1180,recording,on,nothing_detected,no audible content in review window,none,false,false,0.91,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0144,EVT_0198,SITE_14_P09_A,SITE_14,P09,1290,1410,recording,on,environmental_noise,environmental noise matching field notes,none,false,true,0.82,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0145,EVT_0199,SITE_14_P10_A,SITE_14,P10,1040,1180,recording,off,short_transient,brief isolated sound; source not identified,none,false,false,0.8,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0146,EVT_0201,SITE_15_P01_A,SITE_15,P01,1330,1470,recording,off,nothing_detected,no audible content in review window,none,false,false,0.94,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0147,EVT_0203,SITE_15_P03_A,SITE_15,P03,1200,1340,recording,off,short_transient,brief isolated sound; source not identified,none,false,unknown,0.56,uncertain,Short transient precedes the physiological change in the raw recording; source not identified.
AR_0148,EVT_0205,SITE_15_P04_B,SITE_15,P04,350,460,recording,on,short_transient,mechanical cycling sound,none,false,true,0.88,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0149,EVT_0206,SITE_15_P04_B,SITE_15,P04,1110,1240,recording,off,nothing_detected,no audible content in review window,none,false,unknown,0.6,no_correspondence,Audio review does not add evidence beyond the sensor deviation.
AR_0150,EVT_0207,SITE_15_P05_A,SITE_15,P05,500,610,recording,off,nothing_detected,no audible content in review window,none,false,false,0.97,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0151,EVT_0208,SITE_15_P05_A,SITE_15,P05,850,980,recording,on,ambiguous_noise,brief indistinct acoustic change,none,unknown,false,0.65,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0152,EVT_0209,SITE_15_P05_A,SITE_15,P05,1070,1190,recording,off,short_transient,brief isolated sound; source not identified,none,false,false,0.74,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0153,EVT_0210,SITE_15_P05_A,SITE_15,P05,1270,1380,recording,off,short_transient,brief isolated sound; source not identified,none,false,false,0.66,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0154,EVT_0212,SITE_15_P07_A,SITE_15,P07,740,870,recording,off,nothing_detected,no audible content in review window,none,false,false,0.86,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0155,EVT_0213,SITE_15_P07_A,SITE_15,P07,1090,1220,recording,on,voice_like,brief vocal-like fragment; wording not reliable,low,possible,unknown,0.44,uncertain,Voice-like fragment coincides with Spirit Box sweep; radio bleed cannot be excluded.
AR_0156,EVT_0216,SITE_15_P09_B,SITE_15,P09,870,1000,recording,on,nothing_detected,no audible content in review window,none,false,unknown,0.83,no_correspondence,Audio review does not add evidence beyond the sensor deviation.
AR_0157,EVT_0217,SITE_15_P09_B,SITE_15,P09,1350,1480,recording,on,nothing_detected,no audible content in review window,none,false,false,0.87,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0158,EVT_0218,SITE_15_P10_A,SITE_15,P10,430,540,recording,on,short_transient,brief low-level sound,none,unknown,unknown,0.6,uncertain,Weak or ambiguous audio correspondence; reviewer confidence limited.
AR_0159,EVT_0219,SITE_15_P10_A,SITE_15,P10,570,710,recording,off,ambiguous_noise,brief indistinct acoustic change,none,false,false,0.63,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0160,EVT_0220,SITE_15_P10_A,SITE_15,P10,1400,1540,recording,off,environmental_noise,distant traffic or exterior noise,none,false,true,0.71,probable,Isolated transient without multi-sensor correspondence.
